company_id,name,address,latitude,longitude
1,AlphaTech,1234 Alpha Ave,40.712776,-74.005974
2,BetaSolutions,5678 Beta Blvd,34.052235,-118.243683
3,Gamma Inc,91011 Gamma St,37.774929,-122.419418
4,Delta Corp,1213 Delta Rd,47.606209,-122.332069
5,Epsilon LLC,1415 Epsilon Dr,41.878113,-87.629799
6,Zeta Systems,1617 Zeta Lane,30.267153,-97.743057
7,Eta Services,1819 Eta Street,37.338208,-121.886329
8,Theta Electronics,2021 Theta Ave,40.760779,-111.891047
9,Iota Computing,2223 Iota Ct,39.739236,-104.990251
10,Kappa Biotech,2425 Kappa Blvd,34.052235,-118.243683
